[Learner] Device: cuda
[Learner] Resuming from checkpoints/train_ckpt_step156000.pt
[Learner] Resumed at step 156000
[Learner] Waiting for 1000 transitions in buffer...
[Learner] Buffer ready: ~1897920 transitions (23724 files)
[ReplayBuffer] Added 45495 transitions, buffer size=45495

[Learner] === PHASE 1: Critic warmup (5000 steps) ===
  Warmup 100/5000 | V=1.779 Q=1.711 V_loss=0.0040
  Warmup 200/5000 | V=2.080 Q=2.036 V_loss=0.0026
  Warmup 300/5000 | V=1.836 Q=1.804 V_loss=0.0021
  Warmup 400/5000 | V=1.465 Q=1.457 V_loss=0.0036
  Warmup 500/5000 | V=1.895 Q=1.887 V_loss=0.0027
  Warmup 600/5000 | V=1.898 Q=1.870 V_loss=0.0023
  Warmup 700/5000 | V=2.072 Q=2.055 V_loss=0.0023
  Warmup 800/5000 | V=2.105 Q=2.106 V_loss=0.0025
  Warmup 900/5000 | V=1.641 Q=1.619 V_loss=0.0024
  Warmup 1000/5000 | V=2.204 Q=2.198 V_loss=0.0022
  Warmup 1100/5000 | V=1.690 Q=1.674 V_loss=0.0022
  Warmup 1200/5000 | V=2.090 Q=2.087 V_loss=0.0025
  Warmup 1300/5000 | V=1.831 Q=1.816 V_loss=0.0025
  Warmup 1400/5000 | V=1.848 Q=1.848 V_loss=0.0016
  Warmup 1500/5000 | V=2.184 Q=2.193 V_loss=0.0016
  Warmup 1600/5000 | V=1.801 Q=1.766 V_loss=0.0113
  Warmup 1700/5000 | V=1.689 Q=1.684 V_loss=0.0023
  Warmup 1800/5000 | V=1.788 Q=1.773 V_loss=0.0035
  Warmup 1900/5000 | V=1.800 Q=1.832 V_loss=0.0018
  Warmup 2000/5000 | V=1.998 Q=2.013 V_loss=0.0023
  Warmup 2100/5000 | V=1.667 Q=1.679 V_loss=0.0023
  Warmup 2200/5000 | V=1.941 Q=1.882 V_loss=0.0019
  Warmup 2300/5000 | V=1.838 Q=1.854 V_loss=0.0028
  Warmup 2400/5000 | V=1.999 Q=2.030 V_loss=0.0017
  Warmup 2500/5000 | V=1.854 Q=1.812 V_loss=0.0017
  Warmup 2600/5000 | V=1.894 Q=1.924 V_loss=0.0020
  Warmup 2700/5000 | V=1.876 Q=1.869 V_loss=0.0017
  Warmup 2800/5000 | V=1.842 Q=1.844 V_loss=0.0020
  Warmup 2900/5000 | V=2.021 Q=2.056 V_loss=0.0019
  Warmup 3000/5000 | V=1.714 Q=1.742 V_loss=0.0029
  Warmup 3100/5000 | V=1.810 Q=1.820 V_loss=0.0021
  Warmup 3200/5000 | V=1.641 Q=1.665 V_loss=0.0017
  Warmup 3300/5000 | V=1.717 Q=1.688 V_loss=0.0015
  Warmup 3400/5000 | V=1.817 Q=1.818 V_loss=0.0013
  Warmup 3500/5000 | V=2.047 Q=2.097 V_loss=0.0031
  Warmup 3600/5000 | V=1.827 Q=1.788 V_loss=0.0014
  Warmup 3700/5000 | V=1.829 Q=1.820 V_loss=0.0022
  Warmup 3800/5000 | V=2.121 Q=2.114 V_loss=0.0015
  Warmup 3900/5000 | V=2.155 Q=2.128 V_loss=0.0016
  Warmup 4000/5000 | V=1.840 Q=1.806 V_loss=0.0018
  Warmup 4100/5000 | V=1.694 Q=1.694 V_loss=0.0015
  Warmup 4200/5000 | V=1.974 Q=1.984 V_loss=0.0016
  Warmup 4300/5000 | V=2.016 Q=1.979 V_loss=0.0017
  Warmup 4400/5000 | V=1.941 Q=1.913 V_loss=0.0014
  Warmup 4500/5000 | V=2.198 Q=2.179 V_loss=0.0013
  Warmup 4600/5000 | V=1.513 Q=1.470 V_loss=0.0020
  Warmup 4700/5000 | V=1.827 Q=1.836 V_loss=0.0021
  Warmup 4800/5000 | V=2.160 Q=2.096 V_loss=0.0017
  Warmup 4900/5000 | V=1.490 Q=1.479 V_loss=0.0027
